type,identifier,url,issue_count,issues,meta_title,meta_description,canonical_url,noindex,generated_at
GoldenVisaLandingPage,singleton,/greece-golden-visa/,5,Meta title too short or too long; Missing meta description; Missing OG image; Missing focus keyword; Thin content under 600 words,,,,no,2026-05-27T13:17:14.967906+00:00
GoldenVisaFaLandingPage,singleton,/fa/greece-golden-visa/,5,Missing meta title; Missing meta description; Missing OG image; Missing focus keyword; Thin content under 600 words,,,,no,2026-05-27T13:17:14.967906+00:00
StaticPage,events,/events/,4,Missing meta title; Missing meta description; Missing OG image; Missing focus keyword,,,/events/,no,2026-05-27T13:17:14.967906+00:00
WebinarLandingSettings,singleton,/webinar/,3,Meta description too short or too long; Missing OG image; Missing focus keyword,وبینار تخصصی اقامت و سرمایه‌گذاری اروپا,وبینار تخصصی اقامت دائم اروپا و سرمایه‌گذاری در یونان ویژه ایرانیان مقیم امارات و ترکیه — ظرفیت محدود.,,no,2026-05-27T13:17:14.967906+00:00
Property,8,/properties/peristeri-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,PERISTERI PROJECT,"Located in Peristeri, one of the largest and most vibrant districts of Athens, this fully renovated property offers an excellent opportunity for both real estat",/properties/peristeri-project/,no,2026-05-27T13:17:14.967906+00:00
Property,6,/properties/elite-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,ELITE Luxury Residential,"
ELITE &ndash; Invest Smart. Live Premium. Secure Europe
A Golden Opportunity in South Athens

ELITE is an exclusive 22-unit luxury residential project located ",/properties/elite-project/,no,2026-05-27T13:17:14.967906+00:00
Property,5,/properties/artemis-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,Artemis Residential Project,A modern and luxury residential project in one of the calmest and most accessible areas of South Athens. 3 floors with 9 one-bedroom apartments (42-50 sqm). Onl,/properties/artemis-project/,no,2026-05-27T13:17:14.967906+00:00
Property,4,/properties/lotus-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,Lotus Project,"LOTUS Luxury Project &ndash; Located in the prestigious Voula Panorama area, South Athens
Unobstructed sea view &ndash; Modern design &ndash; A golden opportuni",/properties/lotus-project/,no,2026-05-27T13:17:14.967906+00:00
Property,3,/properties/onyx-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,Onyx Residential Project,"&nbsp;
Onyx Residential Project &ndash; Alimos, The Heart of South Athens

This unique residential project is located in the prime area of Alimos, just 200 mete",/properties/onyx-project/,no,2026-05-27T13:17:14.967906+00:00
Property,1,/properties/noble-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,Noble Residential Project,"&nbsp;The Noble Alimos residential project is located on one of the most prestigious and prime streets of Alimos,
a well-known, upscale seaside neighborhood in",/properties/noble-project/,no,2026-05-27T13:17:14.967906+00:00
